id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,6.263,1,N/A,N/A,N/A,1,audio delay,1,left,early,hit,0,0,3.1403,4.3403,4.3403,5.8403,"[1.6602, 1.9125, 2.0732, 2.2279, 2.3903, 4.723, 4.8737, 5.0463, 5.2258, 5.4035, 5.5968]",[],[],0.5,1.2751,[],"[1.2751, 1.7602, 2.0125, 2.1732, 2.3279, 2.4903]","[1.9251, 2.4102, 2.6625, 2.8232, 2.9779, 3.1403]"
1,8.0474,13.5349,2,N/A,N/A,N/A,2,audio delay,1,left,early,hit,0,0,10.6373,11.8373,11.8373,13.3373,"[9.6598, 9.7456, 9.8873, 11.9949, 12.1713, 12.3286, 12.5011, 12.6691]",[],[],8.5474,9.3786,[],"[9.3786, 9.7598, 9.9873]","[10.0286, 10.4098, 10.6373]"
2,15.3188,20.2074,3,N/A,N/A,N/A,3,audio delay,1,left,no early,hit,0,0,17.3175,18.5175,18.5175,20.0175,"[18.6674, 18.8608, 19.0042, 19.155, 19.3246, 19.4906]",[],[],15.8188,16.6675,[],16.6675,17.3175
3,21.9921,26.9357,4,N/A,N/A,N/A,4,audio delay,1,right,no early,hit,0,0,24.0186,25.2186,25.2186,26.7186,[],[],[],22.4921,23.3686,"[25.3957, 25.5324, 25.7266, 25.8923, 26.0777, 26.2504, 26.432, 26.5933, 26.7665]",23.3686,24.0186
4,29.4612,34.3528,5,N/A,N/A,N/A,5,audio delay,1,right,no early,hit,0,0,31.2721,32.4721,32.4721,33.9721,[],[],[],29.9612,30.6221,"[32.8128, 32.9974, 33.1932, 33.3415, 33.4855, 33.6442]",30.6221,31.2721
5,36.1403,41.0187,6,N/A,N/A,N/A,6,audio delay,1,right,no early,hit,0,0,38.0002,39.2002,39.2002,40.7002,[],[],[],36.6403,37.3502,"[39.4787, 39.6547, 39.829, 39.9967, 40.1488, 40.2986, 40.4504]",37.3502,38.0002
6,42.8062,46.81,7,N/A,N/A,N/A,7,audio delay,1,left,no early,miss,0,0,44.7834,45.9834,45.9834,[],[],[],[],43.3062,44.1334,"[46.31, 46.5237]",44.1334,44.7834
7,48.5992,53.399,8,N/A,N/A,N/A,8,audio delay,1,left,no early,hit,0,0,50.4699,51.6699,51.6699,53.1699,"[51.859, 51.9876, 52.1481, 52.3112, 52.4907, 52.6626]",[],[],49.0992,49.8199,[],49.8199,50.4699
8,55.1883,59.2892,9,N/A,N/A,N/A,9,audio delay,1,left,no early,miss,0,0,57.191,58.391,58.391,[],[],[],[],55.6883,56.541,58.7892,56.541,57.191
9,61.0806,65.8557,10,N/A,N/A,N/A,10,audio delay,1,left,no early,hit,0,0,62.9755,64.1755,64.1755,65.6755,"[64.3157, 64.4502, 64.5973, 64.7644, 64.9295]",[],[],61.5806,62.3255,[],62.3255,62.9755
10,67.6471,72.7435,11,N/A,N/A,N/A,11,audio delay,1,left,early,hit,0,0,69.7614,70.9614,70.9614,72.4614,"[69.0114, 71.2035, 71.3515, 71.5151, 71.6756, 71.8401]",[],[],68.1471,68.8076,[],"[68.8076, 69.1114]","[69.4576, 69.7614]"
11,74.5359,79.4886,12,N/A,N/A,N/A,12,audio delay,1,right,no early,hit,0,0,76.4691,77.6691,77.6691,79.1691,[],[],[],75.0359,75.8191,"[77.9486, 78.1135, 78.3024, 78.4673, 78.6295, 78.7956, 78.9378]",75.8191,76.4691
12,81.281,86.1964,13,N/A,N/A,N/A,13,audio delay,1,right,no early,hit,0,0,83.1216,84.3216,84.3216,85.8216,[],[],[],81.781,82.4716,"[84.6564, 84.8034, 84.9935, 85.1713, 85.318, 85.4706, 85.6286]",82.4716,83.1216
13,87.9893,91.8395,14,N/A,N/A,N/A,14,audio delay,1,right,no early,miss,0,0,89.983,91.183,91.183,[],"[91.3395, 91.4791]",[],[],88.4893,89.333,[],89.333,89.983
14,93.6339,98.5294,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,0,0,95.4452,96.6452,96.6452,98.1452,[],[],[],94.1339,94.7952,"[96.9894, 97.1694, 97.358, 97.5318, 97.6959, 97.8654, 98.0133]",94.7952,95.4452
15,100.3255,105.1988,16,N/A,N/A,N/A,16,audio delay,1,left,no early,hit,0,0,102.29,103.49,103.49,104.99,"[103.6588, 103.7762, 103.9519, 104.0895, 104.2566, 104.4277]",[],[],100.8255,101.64,[],101.64,102.29
16,106.9944,111.016,17,N/A,N/A,N/A,17,audio delay,1,left,no early,miss,0,0,109.0034,110.2034,110.2034,[],[],[],[],107.4944,108.3534,"[110.516, 110.6997]",108.3534,109.0034
17,112.813,119.1452,18,N/A,N/A,N/A,18,audio delay,1,left,early,hit,0,0,"[114.7598, 115.9614, 116.1138]","[115.9614, 116.1138, 117.3138]",117.3138,118.8138,"[115.8614, 116.0138, 117.6052, 117.7767, 117.9283, 118.0983, 118.2634]",[],[],113.313,114.1098,[],114.1098,114.7598
18,120.9429,125.7296,19,1.876,5.500,0.5000,19,audio delay,1,left,no early,hit,0,0,122.8191,124.0191,124.0191,125.5191,"[124.1896, 124.3218, 124.4797, 124.6378, 124.7952]",122.8189,123.3189,121.4429,122.1691,[],122.1691,122.8191
19,128.788,133.7535,20,N/A,N/A,N/A,20,audio delay,1,right,no early,hit,0,0,130.71,131.91,131.91,133.41,[],[],[],129.288,130.06,"[132.2135, 132.3878, 132.5809, 132.7596, 132.9168, 133.0734, 133.2237]",130.06,130.71
20,135.5554,140.5193,21,N/A,N/A,N/A,21,audio delay,1,right,no early,hit,0,0,137.5112,138.7112,138.7112,140.2112,[],[],[],136.0554,136.8612,"[138.9793, 139.1401, 139.3219, 139.4742, 139.6317, 139.7806, 139.9232, 140.0711]",136.8612,137.5112
21,142.3204,147.2333,22,1.976,5.500,0.5000,22,audio delay,1,right,no early,hit,0,0,144.2962,145.4962,145.4962,146.9962,[],144.2964,144.7964,142.8204,143.6462,"[145.6933, 145.8416, 146.0194, 146.1812, 146.3309, 146.4838, 146.6255]",143.6462,144.2962
22,149.0356,152.836,23,N/A,N/A,N/A,23,audio delay,1,left,no early,miss,0,0,150.8977,152.0977,152.0977,[],[],[],[],149.5356,150.2477,"[152.336, 152.4977]",150.2477,150.8977
23,154.6393,159.8172,24,N/A,N/A,N/A,24,audio delay,1,left,early,hit,0,0,156.9293,158.1293,158.1293,159.6293,"[156.1793, 158.2772, 158.4211, 158.5748, 158.7275, 158.8796]",[],[],155.1393,155.9285,[],"[155.9285, 156.2793]","[156.5785, 156.9293]"
24,161.6192,166.5478,25,N/A,N/A,N/A,25,audio delay,1,left,no early,hit,0,0,163.6663,164.8663,164.8663,166.3663,"[165.0078, 165.1806, 165.3356, 165.4733, 165.6328, 165.7911]",[],[],162.1192,163.0163,[],163.0163,163.6663
25,168.3512,173.2752,26,N/A,N/A,N/A,26,audio delay,1,right,no early,hit,0,0,170.271,171.471,171.471,172.971,[],[],[],168.8512,169.621,"[171.7352, 171.9094, 172.0866, 172.2404, 172.3927, 172.5416, 172.687]",169.621,170.271
26,175.0801,179.0219,27,N/A,N/A,N/A,27,audio delay,1,left,no early,miss,0,0,177.096,178.296,178.296,[],[],[],[],175.5801,176.446,"[178.5219, 178.6815]",176.446,177.096
27,180.8268,185.6017,28,N/A,N/A,N/A,28,audio delay,1,left,no early,hit,0,0,182.7161,183.9161,183.9161,185.4161,"[184.0617, 184.1872, 184.3465, 184.4952, 184.6574, 184.8262]",[],[],181.3268,182.0661,[],182.0661,182.7161
28,187.4079,192.1711,29,N/A,N/A,N/A,29,audio delay,1,left,no early,hit,0,0,189.2842,190.4842,190.4842,191.9842,"[190.6311, 190.7889, 190.9216, 191.0938, 191.2562, 191.4233, 191.5907]",[],[],187.9079,188.6342,[],188.6342,189.2842
29,193.978,198.9229,30,N/A,N/A,N/A,30,audio delay,1,right,no early,hit,0,0,195.9641,197.1641,197.1641,198.6641,[],[],[],194.478,195.3141,"[197.3829, 197.5251, 197.7075, 197.8541, 198.0132, 198.1575, 198.2997]",195.3141,195.9641
30,200.7307,205.5726,31,N/A,N/A,N/A,31,audio delay,1,left,no early,hit,0,0,202.6684,203.8684,203.8684,205.3684,"[204.0326, 204.1647, 204.3323, 204.4961, 204.6705, 205.0496]",[],[],201.2307,202.0184,[],202.0184,202.6684
